post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
150676839.safety-and-freedom,2024-10-24T18:19:48.774Z,true,2024-10-24T18:19:48.977Z,2024-10-24T18:19:48.977Z,newsletter,everyone,Safety & Freedom,,
150666515.jevons,,false,,,newsletter,only_paid,,,
150572268.thinkie-hard-problem,2024-10-22T17:22:46.120Z,true,2024-10-22T17:22:47.122Z,2024-10-22T17:22:47.122Z,newsletter,only_paid,Thinkie: Hard Problem,,
150420756.profiting-from-some-failure,2024-10-21T12:07:53.835Z,true,2024-10-21T12:07:54.560Z,2024-10-21T12:07:54.560Z,newsletter,everyone,Profiting From (Some) Failure,Basket of options versus option on a basket,
150396061.which-system,2024-10-18T08:08:02.404Z,true,2024-10-18T08:08:03.009Z,2024-10-18T08:08:03.009Z,newsletter,everyone,Which System?,Step back & think about which system you're optimizing,
150344207.constraints-on-software-design,2024-10-17T07:54:10.353Z,true,2024-10-17T07:54:11.482Z,2024-10-17T07:54:11.482Z,newsletter,only_paid,Constraints on Software Design,,
150202900.thinkie-perfect-setup,2024-10-15T11:29:46.719Z,true,2024-10-15T11:29:47.647Z,2024-10-15T11:29:47.647Z,newsletter,only_paid,Thinkie: Perfect Setup,,
150165764.why-insurance-companies-are-rationally,2024-10-25T13:57:55.114Z,true,2024-10-25T13:57:55.223Z,2024-10-25T13:57:55.223Z,newsletter,everyone,Why Insurance Companies Are Rationally Failing Their Social Purpose,,
149909845.thinkie-put-skin-in-the-game,2024-10-08T10:58:33.776Z,true,2024-10-08T10:58:34.880Z,2024-10-08T10:58:34.880Z,newsletter,only_paid,Thinkie: Put Skin In The Game,,
149873915.empirical-software-design-qa,2024-10-06T13:09:36.364Z,true,2024-10-06T13:09:37.935Z,2024-10-06T13:09:37.935Z,newsletter,everyone,Empirical Software Design Q/A,Questions from the Goto CPH keynote briefly answered,
149868991.live-drawing,2024-10-07T12:13:55.471Z,true,2024-10-07T12:13:56.362Z,2024-10-07T12:13:56.362Z,newsletter,everyone,Live Drawing,,
149768646.slow-deployment-causes-meetings,2024-10-04T05:50:54.811Z,true,2024-10-04T05:50:56.232Z,2024-10-04T05:50:56.232Z,newsletter,everyone,Slow Deployment Causes Meetings,,
149659814.thinkie-hill-climbing,2024-10-01T12:40:28.830Z,true,2024-10-01T12:40:29.996Z,2024-10-01T12:40:29.996Z,newsletter,only_paid,Thinkie: Hill Climbing,,
149451292.authority-and-responsibility,2024-09-27T13:47:40.490Z,true,2024-09-27T13:47:41.635Z,2024-09-27T13:47:41.635Z,newsletter,everyone,Authority & Responsibility,,
149375795.mixing-design-and-featuresexperiment,2024-09-25T12:56:03.518Z,true,2024-09-25T12:56:04.898Z,2024-09-25T12:56:04.898Z,newsletter,only_paid,"Mixing Design & Features—Experiment, Initiate, Sustain, Abandon, & Finish",,
149358443.thinkie-analogy,2024-09-24T17:19:43.560Z,true,2024-09-24T17:19:44.966Z,2024-09-24T17:19:44.966Z,newsletter,only_paid,Thinkie: Analogy,,
149029657.chapter-make-it-run-make-it-right,2024-09-18T12:40:56.220Z,true,2024-09-18T12:40:57.071Z,2024-09-18T12:40:57.071Z,newsletter,only_paid,"Chapter: Make It Run, Make It Right, Make It Fast",,
148924778.old-and-single-and-unready-to-mingle,2024-09-20T14:09:05.703Z,true,2024-09-20T14:09:06.608Z,2024-09-20T14:09:06.608Z,newsletter,everyone,Old & Single & Unready to Mingle,,
148921595.product-is-a-party-not-chess,2024-09-16T14:44:56.897Z,true,2024-09-16T14:44:57.822Z,2024-09-16T14:44:57.822Z,newsletter,everyone,"Product is a Party, Not Chess","Be smart about introducing programmers to customers, but do it!",
148793715.the-life-changing-magic-of-tidying,2024-09-13T12:20:57.740Z,true,2024-09-13T12:20:58.350Z,2024-09-13T12:20:58.350Z,newsletter,everyone,The Life-Changing Magic of Tidying Up Code,,
148726320.separate-idea-generation-from-evaluation,2024-09-10T14:20:44.410Z,true,2024-09-10T14:20:45.030Z,2024-09-10T14:20:45.030Z,newsletter,only_paid,Separate Idea Generation from Evaluation,,
148710503.scope-management-101,2024-09-11T13:08:18.759Z,true,2024-09-11T13:08:19.396Z,2024-09-11T13:08:19.396Z,newsletter,everyone,Scope Management 101,,
148710316.2c5,,false,,,newsletter,only_paid,,,
148614766.private-reflections-on-founder-mode,2024-09-07T15:42:29.658Z,true,2024-09-07T15:42:30.153Z,2024-09-07T15:42:30.153Z,newsletter,only_paid,Private Reflections on Founder Mode,The stuff I don't want to say in public,
148585147.thinkie-invert-the-goal,2024-09-06T17:59:17.589Z,true,2024-09-06T17:59:18.112Z,2024-09-06T17:59:18.112Z,newsletter,only_paid,Thinkie: Invert the Goal,,
148577487.the-impossibility-of-making-an-elite,2024-09-06T14:23:24.269Z,true,2024-09-06T14:23:25.338Z,2024-09-06T14:23:25.338Z,newsletter,everyone,The Impossibility of Making an Elite Engineer,,
148539981.the-founder-mode-tradeoff,2024-09-05T18:17:12.716Z,true,2024-09-05T18:17:13.498Z,2024-09-05T18:17:13.498Z,newsletter,everyone,The Founder Mode Tradeoff,,
148492531.example-of-thinkie-laughter,2024-09-05T08:20:54.878Z,true,2024-09-05T08:20:55.788Z,2024-09-05T08:20:55.788Z,newsletter,everyone,Example of Thinkie: Laughter,,
148265031.corner-meet-paint,2024-08-29T14:25:59.436Z,true,2024-08-29T14:26:00.026Z,2024-08-29T14:26:00.026Z,newsletter,only_paid,Corner Meet Paint,"It's the painter, not the paint. Also a book update.",
148205527.thinkie-work-backwards,2024-09-03T13:45:05.402Z,true,2024-09-03T13:45:07.382Z,2024-09-03T13:45:07.382Z,newsletter,only_paid,Thinkie: Work Backwards,,
148189119.thinkie-naive-solution,2024-08-27T15:14:59.216Z,true,2024-08-27T15:14:59.830Z,2024-08-27T15:14:59.830Z,newsletter,only_paid,Thinkie: Naive Solution,,
148166040.ad-hoc-infrastructure,2024-08-30T12:22:01.486Z,true,2024-08-30T12:22:02.131Z,2024-08-30T12:22:02.131Z,newsletter,everyone,Ad Hoc Infrastructure,,
148004952.scrape-then-paint,2024-08-23T13:10:01.153Z,true,2024-08-23T13:10:01.872Z,2024-08-23T13:10:01.872Z,newsletter,everyone,Scrape Then Paint,What Needs to Happen Before Test Coverage Matters,
147932285.thinkie-explore-or-extract,2024-08-20T17:14:39.985Z,true,2024-08-20T17:14:40.677Z,2024-08-20T17:14:40.677Z,newsletter,only_paid,Thinkie: Explore or Extract?,,
147786705.enthusiasm-managing-our-most-precious,2024-08-19T12:51:20.584Z,true,2024-08-19T12:51:21.212Z,2024-08-19T12:51:21.212Z,newsletter,everyone,Enthusiasm: Managing Our Most Precious Resource,,
147716907.big-feet-in-small-shoes,2024-08-15T13:09:41.544Z,true,2024-08-15T13:09:42.213Z,2024-08-15T13:09:42.213Z,newsletter,everyone,Big Feet In Small Shoes,Don’t copy big tech company solutions in a smaller tech company,
147665286.thinkie-latency-throughput-and-variance,2024-08-13T14:17:58.287Z,true,2024-08-13T14:17:59.279Z,2024-08-13T14:17:59.279Z,newsletter,only_paid,"Thinkie: Latency, Throughput, & Variance",,
147492070.humans-data,2024-08-08T18:08:24.613Z,true,2024-08-08T18:08:25.374Z,2024-08-08T18:08:25.374Z,newsletter,everyone,Humans >> Data,,
147447723.no-we-in-ic,2024-08-09T12:45:56.291Z,true,2024-08-09T12:45:58.695Z,2024-08-09T12:45:58.695Z,newsletter,everyone,"No ""We"" in IC",,
147408609.retirement-letter-2028,,false,,,newsletter,only_paid,,,
147408171.thinkie-but-if-you-could,2024-08-06T14:07:30.492Z,true,2024-08-06T14:07:31.411Z,2024-08-06T14:07:31.411Z,newsletter,only_paid,Thinkie: But If You Could...,,
147396986.design-but-when,,false,,,newsletter,only_paid,,,
147295678.refactoring-catalog,2024-08-05T13:02:57.217Z,true,2024-08-05T13:02:58.609Z,2024-08-05T13:02:58.609Z,newsletter,everyone,Refactoring Catalog,,
147253647.refactoring-constructor-builder,2024-08-01T20:47:14.212Z,true,2024-08-01T20:47:14.918Z,2024-08-01T20:47:14.918Z,newsletter,only_paid,Refactoring: Constructor <-> Builder,,
147241285.software-is-bananas,2024-08-02T13:11:33.018Z,true,2024-08-02T13:11:34.134Z,2024-08-02T13:11:34.134Z,newsletter,everyone,Software Is Bananas,,
146997344.thinkie-agreements,2024-07-30T13:48:00.816Z,true,2024-07-30T13:48:02.148Z,2024-07-30T13:48:02.148Z,newsletter,only_paid,Thinkie: Agreements,,
146976276.game-over-absorbs-future-winnings,2024-07-29T13:37:54.280Z,true,2024-07-29T13:37:55.259Z,2024-07-29T13:37:55.259Z,newsletter,everyone,Game Over Absorbs Future Winnings,,
146961378.refactoring-boolean-in-constructor,2024-07-24T15:27:57.373Z,true,2024-07-24T15:27:58.016Z,2024-07-24T15:27:58.016Z,newsletter,only_paid,Refactoring: Boolean In Constructor <-> Subclasses,,
